MUNICIPIO,Altitude,Latitude,Longitude
Alto Paraíso de Goiás,1232.61,14.1325,47.51
Caiapônia,709.82,16.956666666666667,51.81027777777778
Catalão,853.3,18.16583333333333,47.94638888888888
Cristalina,1216.73,16.76861111111111,47.61361111111111
Goianésia,627.18,15.317499999999999,49.1175
Goiás,498.57,15.934444444444445,50.140277777777776
Ipameri,773.98,17.721944444444443,48.15972222222222
Itapaci,566.93,14.950833333333332,49.54944444444444
Itumbiara,461.81,18.41916666666667,49.21527777777778
Jataí,724.0,17.88138888888889,51.714444444444446
Luziânia,957.53,16.2525,47.95027777777778
Mineiros,789.96,17.569444444444443,52.551111111111105
Morrinhos,789.89,17.731111111111108,49.099444444444444
Niquelândia,578.34,14.473888888888888,48.459722222222226
Paraúna,700.28,16.947777777777777,50.448611111111106
Pirenópolis,772.83,15.8525,48.95916666666667
Pires do Rio,768.89,17.299722222222226,48.279444444444444
Posse,834.23,14.093055555555557,46.36944444444445
Rio Verde,743.31,17.798055555555557,50.92805555555555
